id,course_code,course_title,semester,year,credit
1,EBC111,FOUNDATIONS OF EDUCATION IN GHANA,1,100,3
2,EBC112,INCLUSIVE SCHOOL-BASED INQUIRY,1,100,3
3,EBC113,INTRODUCTION TO INTEGRATED SCIENCE I,1,100,3
4,EBC115,FOUNDATIONS OF SOCIAL STUDIES AND TECHNICAL VOCATIONAL EDUCATION AND TRAINING (TVET),1,100,3
5,EBS113,INTRODUCTION TO LANGUAGE AND LITERACY,1,100,3
6,EGM114,INTRODUCTION TO LEARNING AND APPLYING NUMBER & ALGEBRA,1,100,3
7,STS111,STS: BEGINNING TEACHING I,1,100,3
8,EGC237,INTRODUCTION TO EARLY GRADE SCIENCE I,1,200,3
9,EGE231,NATURE OF EARLY GRADE EDUCATION,1,200,3
10,EGE233,TEACHING SPEAKING AND LISTENING FOR EARLY GRADE ,1,200,3
11,EGE235,INTRODUCTION TO ENGLISH LANGUAGE,1,200,3
12,EGE32,DIFFERENTIATED PLANNING AND LEARNING FOR EARLY GRADE,1,200,3
13,EGG234,PRINCIPLES AND RULES OF WRITING A GHANAIAN LANGUAGE ,1,200,3
14,EGG238,"GHANAIAN IDENTITY, CULTURE AND ARTS",1,200,3
15,EGM236,THEORIES IN THE LEARNING OF NUMERACY IN THE EARLY GRADE,1,200,3
16,EGE351,"CHILD HEALTH, SAFETY AND SECURITY ",1,300,3
17,EGE353,CHILDREN�S LITERATURE,1,300,3
18,EGE355,ENGLISH LANGUAGE CURRICULUM FOR EARLY GRADE,1,300,3
19,EGG354,WRITTEN LITERATURE OF A GHANAIAN LANGUAGE ,1,300,3
20,EGM356,TEACHING AND ASSESSING NUMERACY II FOR EARLY GRADE ,1,300,3
21,EGP352,GUIDANCE AND COUNSELLING FOR EARLY GRADE,1,300,3
22,EGS357,INTRODUCTION TO EARLY GRADE SCIENCE III,1,300,3
23,EGU358,"SPORTS, PE, MUSIC AND DANCE IN LOCAL AND GLOBAL CULTURES",1,300,3
24,EBC477,PORTFOLIO DEVELOPMENT,1,400,3
25,EBC121,INTRODUCTION TO INFORMATION AND COMMUNICATION TECHNOLOGY[2],2,100,3
26,EBC122,"LEARNING, TEACHING AND APPLYING GEOMETRY AND HANDLING DATA",2,100,3
27,EBC123,"INTERSECTION OF PHYSICAL ACTIVITY, SPORTS, MUSIC AND DANCE",2,100,3
28,EBC125,PSYCHOLOGICAL BASIS OF LEARNING,2,100,3
29,EBC126,COMMUNICATION SKILLS,2,100,3
30,EGS123,INTRODUCTION TO INTEGRATED SCIENCE II FOR EARLY GRADE,2,100,3
31,EBC243,STRUCTURE OF A GHANAIAN LANGUAGE,2,200,3
32,EBC244,INTRODUCTION TO LITERATURE IN ENGLISH,2,200,3
33,EGE241,MULTIMEDIA DEVELOPMENT AND USE FOR EARLY GRADE,2,200,3
34,EGE247,POLICY DOCUMENT AND SYLLABUS ANALYSIS IN PHYSICAL EDUCATION AND MUSIC FOR EARLY GRADE,2,200,3
35,EGM245,TEACHING AND ASSESSING NUMERACY I FOR EARLY GRADE ,2,200,3
36,EGP242,CHILD GROWTH AND DEVELOPMENT,2,200,3
37,EGS246,EARLY GRADE SCIENCE II,2,200,3
38,EBC365,ORAL LITERATURE OF A GHANAIAN LANGUAGE ,2,300,3
39,EGE361,DIFFERENTIATED ASSESSMENT FOR EARLY GRADE ,2,300,3
40,EGE362,INQUIRY AND ACTION RESEARCH FOR EARLY GRADE,2,300,3
41,EGE363,TEACHING EARLY GRADE READING AND WRITING  ,2,300,3
42,EGE364,LITERACY ACROSS THE EARLY GRADE CURRICULUM,2,300,3
43,EGE366,"ENGLISH LANGUAGE CLASSROOM ORGANISATION, MANAGEMENT AND ASSESSMENT",2,300,3
44,EGG483,TRANSLATION PRACTICE ,2,400,3
45,EGP481,ADMINISTRATION AND MANAGEMENT OF EARLY GRADE ,2,400,3
46,EGP482,CONTEMPORARY ISSUES IN EARLY GRADE EDUCATION,2,400,3
47,JBA231,"HISTORICAL DEVELOPMENT, TOOLS AND MATERIALS IN AGRICULTURE ",1,200,3
48,JBA232,ENVIRONMENTAL EFFECTS ON AGRICULTURE AND ENTREPRENEURSHIP ,1,200,3
49,JBA351,SCIENTIFIC APPROACHES TO SOLVING AGRICULTURAL PROBLEMS ,1,300,3
50,JBA352,SUSTAINABLE AGRICULTURAL PRACTICES  ,1,300,3
51,JBA241,AGRICULTURAL POLICIES AND ASSOCIATIONS  ,2,200,3
52,JBA242,AGRICULTURAL RESOURCES AND TECHNOLOGY ,2,200,3
53,JBA361,ASSESSMENT TECHNIQUES IN AGRICULTURE ,2,300,3
54,JBA481,AGRIBUSINESS MANAGEMENT ,2,400,3
55,JBA482,AGRICULTURAL PROJECT,2,400,3
56,JBE231,ENGLISH SEMANTICS ,1,200,3
57,JBE232,ADVANCED ENGLISH GRAMMAR ,1,200,3
58,JBE352,STYLISTICS ,1,300,3
59,JBE353,SOCIOLINGUISTICS,1,300,3
60,JBE241,TEACHING ENGLISH  ,2,200,3
61,JBE242,"STUDIES IN PROSE, POETRY & DRAMA",2,200,3
62,JBE361,PHONETICS & PHONOLOGY OF ENGLISH ,2,300,3
63,JBE481,AFRICAN LITERATURE,2,400,3
64,JBE482,VARIETIES OF ENGLISH,2,400,3
65,JBF231,NATURE OF FRENCH AND COMMUNICATION IN SPECIFIC CONTEXT,1,200,3
66,JBF232,JUNIOR HIGH SCHOOL FRENCH CURRICULUM,1,200,3
67,JBF233,INTRODUCTION TO LINGUISTICS IN FRENCH,1,200,3
68,JBF351,MORPHOLOGY AND SYNTAX OF FRENCH  ,1,300,3
69,JBF354,VOCABULARY AND FRENCH ORTHOGRAPHY,1,300,3
70,JBF243,PHONETICS AND PHONOLOGY IN FRENCH,2,200,3
71,JBF244,METHODS OF TEACHING AND ASSESSING FRENCH ,2,200,3
72,JBF246,FRANCOPHONE AFRICAN LITERATURE AND CULTURE,2,200,3
